neuron_id,source,group,exclusive,n_points,n_points_within_10um,frac_points_within_10um,n_points_within_20um,frac_points_within_20um
TH-M-100063,FC,dense,True,4272,25,0.005852059925093633,36,0.008426966292134831
TH-M-200010,FC,dense,True,5396,15,0.0027798369162342477,30,0.005559673832468495
TH-M-200013,FC,dense,True,3178,11,0.003461296412838263,25,0.007866582756450597
TH-M-200034,FC,dense,True,12811,13,0.0010147529466864413,26,0.0020295058933728826
TH-M-200035,FC,dense,True,9342,14,0.00149860843502462,26,0.0027831299507600086
TH-M-200049,FC,dense,True,5748,11,0.0019137091162143354,23,0.004001391788448156
TH-M-200064,FC,dense,True,4859,12,0.002469643959662482,24,0.004939287919324964
TH-M-200095,FC,dense,True,5570,13,0.002333931777378815,25,0.004488330341113106
TH-M-300005,FC,dense,True,6108,13,0.002128356254092993,25,0.004092992796332679
TH-M-300017,FC,dense,True,13943,10,0.0007172057663343614,24,0.001721293839202467
TH-M-300063,FC,dense,True,4245,11,0.002591283863368669,22,0.005182567726737338
Trh-F-000008,FC,dense,True,8084,13,0.0016081147946561108,61,0.007545769421078674
Trh-F-100001,FC,dense,True,6503,12,0.0018453021682300476,24,0.003690604336460095
Trh-F-100038,FC,dense,True,8190,12,0.0014652014652014652,24,0.0029304029304029304
Trh-F-100052,FC,dense,True,11401,13,0.0011402508551881414,24,0.0021050785018857997
Trh-F-100066,FC,dense,True,7824,30,0.003834355828220859,43,0.0054959100204498975
Trh-F-300112,FC,dense,True,2384,12,0.0050335570469798654,23,0.00964765100671141
Trh-F-400055,FC,dense,True,2327,11,0.004727116458960034,22,0.009454232917920068
Trh-M-000172,FC,dense,True,6788,11,0.0016205067766647025,35,0.005156157925751326
Trh-M-100020,FC,dense,True,8173,12,0.0014682491129328276,24,0.0029364982258656552
Trh-M-100024,FC,dense,True,2025,12,0.005925925925925926,23,0.011358024691358024
Trh-M-100025,FC,dense,True,8129,12,0.0014761963341124369,50,0.006150818058801821
Trh-M-100037,FC,dense,True,7254,16,0.0022056796250344637,67,0.009236283429831817
Trh-M-100060,FC,dense,True,9930,11,0.001107754279959718,23,0.0023162134944612286
Trh-M-100071,FC,dense,True,7638,12,0.0015710919088766694,30,0.003927729772191673
Trh-M-200043,FC,dense,True,3266,13,0.003980404164115126,32,0.009797917942437232
Trh-M-300071,FC,dense,True,3167,12,0.003789074834227976,23,0.007262393432270287
Trh-M-300138,FC,dense,True,2423,11,0.004539826661163846,23,0.009492364836978951
Trh-M-300140,FC,dense,True,2486,12,0.004827031375703942,24,0.009654062751407884
Trh-M-400023,FC,dense,True,2300,13,0.005652173913043478,24,0.010434782608695653
Trh-M-400052,FC,dense,True,2367,12,0.005069708491761723,23,0.009716941275876637
Trh-M-400110,FC,dense,True,2385,16,0.0067085953878406705,27,0.011320754716981131
Trh-M-400131,FC,dense,True,2410,10,0.004149377593360996,21,0.008713692946058092
Trh-M-500163,FC,dense,True,1114,11,0.009874326750448833,28,0.025134649910233394
Trh-M-700039,FC,dense,True,7533,12,0.0015929908403026682,23,0.0030532324439134476
VGlut-F-000016,FC,dense,True,12047,14,0.0011621150493898896,26,0.002158213663152652
VGlut-F-000111,FC,dense,True,8446,10,0.0011839924224484964,23,0.0027231825716315414
VGlut-F-000158,FC,dense,True,5544,12,0.0021645021645021645,25,0.004509379509379509
VGlut-F-000177,FC,dense,True,4097,17,0.004149377593360996,31,0.007566512082011228
VGlut-F-000303,FC,dense,True,7950,10,0.0012578616352201257,22,0.002767295597484277
VGlut-F-000463,FC,dense,True,3816,11,0.002882599580712788,24,0.006289308176100629
VGlut-F-000556,FC,dense,True,5583,13,0.002328497223714849,23,0.0041196489342647325
VGlut-F-100002,FC,dense,True,6607,11,0.0016649008627213561,23,0.003481156349326472
VGlut-F-100003,FC,dense,True,10174,11,0.001081187340279143,84,0.008256339689404365
VGlut-F-100035,FC,dense,True,6936,12,0.0017301038062283738,23,0.00331603229527105
VGlut-F-100125,FC,dense,True,6811,11,0.0016150345030098371,24,0.0035237116429305535
VGlut-F-200036,FC,dense,True,6505,15,0.0023059185242121443,26,0.003996925441967717
VGlut-F-200062,FC,dense,True,8541,16,0.0018733169418100925,48,0.005619950825430277
VGlut-F-200143,FC,dense,True,4781,12,0.0025099351600083664,24,0.005019870320016733
VGlut-F-200251,FC,dense,True,10625,13,0.0012235294117647058,24,0.0022588235294117645
VGlut-F-200319,FC,dense,True,4465,107,0.023964165733482642,365,0.08174692049272117
VGlut-F-200392,FC,dense,True,7037,11,0.0015631661219269574,24,0.003410544266022453
VGlut-F-200459,FC,dense,True,4711,12,0.0025472298874973467,25,0.005306728932286139
VGlut-F-300438,FC,dense,True,3988,12,0.003009027081243731,23,0.005767301905717151
VGlut-F-400049,FC,dense,True,2807,12,0.004275026718916993,24,0.008550053437833986
VGlut-F-400184,FC,dense,True,3124,17,0.005441741357234315,30,0.009603072983354673
VGlut-F-400186,FC,dense,True,3693,15,0.004061738424045491,29,0.00785269428648795
VGlut-F-400334,FC,dense,True,10086,17,0.0016855046599246481,37,0.003668451318659528
VGlut-F-400757,FC,dense,True,3652,12,0.0032858707557502738,24,0.0065717415115005475
VGlut-F-400898,FC,dense,True,3646,10,0.0027427317608337905,21,0.00575973669775096
VGlut-F-500002,FC,dense,True,4356,15,0.003443526170798898,27,0.006198347107438017
VGlut-F-500335,FC,dense,True,3246,10,0.0030807147258163892,21,0.006469500924214418
VGlut-F-500876,FC,dense,True,3199,10,0.0031259768677711786,21,0.006564551422319475
VGlut-F-600204,FC,dense,True,6656,11,0.0016526442307692308,25,0.0037560096153846155
VGlut-F-700261,FC,dense,True,10300,11,0.0010679611650485437,22,0.0021359223300970874
VGlut-F-700541,FC,dense,True,3649,13,0.00356261989586188,24,0.006577144423129624
VGlut-F-800130,FC,dense,True,5138,12,0.0023355391202802647,27,0.005254963020630596
fru-F-000094,FC,dense,True,8113,43,0.005300135584863799,77,0.009490940465918895
fru-F-000131,FC,dense,True,5286,17,0.003216042376087779,126,0.02383654937570942
fru-M-000335,FC,dense,True,4792,17,0.0035475792988313858,55,0.011477462437395659
fru-M-000339,FC,dense,True,2382,18,0.007556675062972292,31,0.013014273719563391
fru-M-300299,FC,dense,True,5869,12,0.0020446413358323396,24,0.004089282671664679
npf-M-300037,FC,dense,True,8749,12,0.0013715853240370327,26,0.0029717682020802376
1016835041,EM,projection,True,8720,386,0.04426605504587156,1979,0.22694954128440367
1048172314,EM,projection,True,15688,139,0.008860275369709332,1007,0.06418918918918919
1048215779,EM,projection,True,8861,439,0.04954294097731633,2125,0.23981491930933302
1051630846,EM,projection,True,5856,92,0.015710382513661202,612,0.10450819672131148
1078693835,EM,projection,True,36393,362,0.009946967823482538,420,0.01154068090017311
1100792636,EM,projection,True,22851,138,0.006039123014310096,153,0.00669554942890902
1101133698,EM,projection,True,6178,138,0.02233732599546779,675,0.10925865976044027
1141324564,EM,projection,True,2447,36,0.014711892112791173,101,0.04127503064977524
1141337605,EM,projection,True,7196,80,0.011117287381878822,111,0.015425236242356866
1141678665,EM,projection,True,7171,71,0.009900990099009901,104,0.014502858736577882
1142011140,EM,projection,True,6956,73,0.010494537090281772,100,0.01437607820586544
1142356576,EM,projection,True,6658,134,0.020126164013217183,227,0.034094322619405225
1142365351,EM,projection,True,6258,149,0.023809523809523808,417,0.0666347075743049
1171690479,EM,projection,True,3522,48,0.013628620102214651,68,0.019307211811470756
1172372382,EM,projection,True,1656,30,0.018115942028985508,47,0.028381642512077296
1173045815,EM,projection,True,3422,86,0.025131502045587374,424,0.12390414962010521
1173745330,EM,projection,True,2909,29,0.009969061533172912,61,0.020969405293915434
1193560072,EM,projection,True,2902,22,0.007580978635423846,35,0.012060647829083391
1198006801,EM,projection,True,3071,75,0.024422012373819604,388,0.1263432106805601
1198330641,EM,projection,True,4736,381,0.08044763513513513,1134,0.23944256756756757
1204175835,EM,projection,True,6220,48,0.0077170418006430866,92,0.014790996784565916
1205090786,EM,projection,True,6982,362,0.05184760813520481,662,0.09481523918647952
1206114100,EM,projection,True,5412,65,0.012010347376201035,99,0.018292682926829267
1224258912,EM,projection,True,5214,25,0.004794783275795934,49,0.009397775220560031
1224595289,EM,projection,True,4320,27,0.00625,217,0.05023148148148148
