neuron_id,group,region_1,region_2,vox_1,vox_2,vox_neuropil,vox_total,vox_other,other_frac,share_1_total,share_2_total,share_12_total,side_1,side_2,side_share_1_total,side_share_2_total,top2_sides_same_region,region_pair
TH-M-200064,dense,dfp_5,mb_4,62857.0,31424.0,113776.0,142167.0,28391.0,0.19970175919868888,0.4421349539625933,0.22103582406606315,0.6631707780286564,dfp_5_r,mb_4_r,0.429923962663628,0.1190079272967707,False,dfp_5 + mb_4
TH-M-200095,dense,dfp_5,mb_4,118161.0,10688.0,133038.0,159181.0,26143.0,0.1642344249627782,0.7423059284713628,0.06714369177225925,0.809449620243622,dfp_5_r,mb_4_r,0.7064159667296976,0.057531991883453426,False,dfp_5 + mb_4
TH-M-300005,dense,fb_6,dfp_5,58707.0,35715.0,144436.0,196488.0,52052.0,0.2649118521232849,0.2987816049835104,0.18176682545498962,0.48054843043850004,dfp_5_r,fb_6_r,0.18176682545498962,0.15824884980253248,False,dfp_5 + fb_6
TH-M-300017,dense,vlp_21,dmp_10,135537.0,34611.0,206602.0,237617.0,31015.0,0.13052517286221105,0.5704011076648556,0.14565877020583545,0.716059877870691,vlp_21_r,dmp_10_r,0.5704011076648556,0.14565877020583545,False,dmp_10 + vlp_21
TH-M-300063,dense,dfp_5,mb_4,83057.0,2343.0,88196.0,101591.0,13395.0,0.131852231004715,0.8175625793623451,0.02306306661023122,0.8406256459725763,dfp_5_r,dfp_5_l,0.6751287023456802,0.14243387701666485,True,dfp_5 + mb_4
Trh-F-000008,dense,al_3,dfp_5,104570.0,18754.0,190744.0,220060.0,29316.0,0.13321821321457783,0.47518858493138233,0.08522221212396619,0.5604107970553486,al_3_r,dfp_5_r,0.4349859129328365,0.08522221212396619,False,al_3 + dfp_5
Trh-F-100001,dense,dfp_5,fb_6,41634.0,41308.0,100117.0,116127.0,16010.0,0.137866301549166,0.3585212741222971,0.3557140027728263,0.7142352768951234,dfp_5_r,fb_6_l,0.3585212741222971,0.18024232090728254,False,dfp_5 + fb_6
Trh-F-100038,dense,al_3,ms_12,41578.0,21184.0,99428.0,121167.0,21739.0,0.17941353668903248,0.3431462361864204,0.17483308161463104,0.5179793178010514,al_3_r,ms_12_r,0.32191108140005115,0.11376860036148456,False,al_3 + ms_12
Trh-F-100052,dense,dlp_23,dfp_5,65680.0,55147.0,144763.0,175485.0,30722.0,0.1750690942245776,0.37427700373251277,0.31425477961079296,0.6885317833433057,dlp_23_r,dfp_5_r,0.3342621876513662,0.25336068609852697,False,dfp_5 + dlp_23
Trh-F-100066,dense,dfp_5,fb_6,67010.0,42797.0,134421.0,157036.0,22615.0,0.14401156422731093,0.4267174405868718,0.2725298657632645,0.6992473063501363,dfp_5_r,fb_6_r,0.4267174405868718,0.13843322550243256,False,dfp_5 + fb_6
Trh-F-300112,dense,fb_6,dfp_5,9766.0,8451.0,28439.0,34146.0,5707.0,0.16713524278099923,0.2860071457857436,0.24749604638903533,0.5335031921747789,dfp_5_r,fb_6_l,0.24749604638903533,0.15064722075792186,False,dfp_5 + fb_6
Trh-F-400055,dense,dfp_5,fb_6,13203.0,12941.0,36024.0,41579.0,5555.0,0.13360109670747253,0.3175401043796147,0.31123884653310563,0.6287789509127204,dfp_5_r,fb_6_l,0.3175401043796147,0.1601529618316939,False,dfp_5 + fb_6
Trh-M-000172,dense,al_3,dfp_5,51079.0,9072.0,78131.0,98126.0,19995.0,0.2037686240140228,0.520545013554002,0.09245256099300898,0.612997574547011,al_3_r,dfp_5_r,0.45337627132462344,0.08966023276195911,False,al_3 + dfp_5
Trh-M-100020,dense,dlp_23,dfp_5,35366.0,25895.0,85465.0,100033.0,14568.0,0.14563194145931843,0.35354333070086874,0.2588645746903522,0.6124079053912209,dlp_23_r,dfp_5_r,0.2540961482710705,0.23074385452800575,False,dfp_5 + dlp_23
Trh-M-100024,dense,fb_6,dfp_5,31262.0,24329.0,57634.0,65931.0,8297.0,0.12584368506468885,0.47416238188409093,0.3690069921584687,0.8431693740425596,dfp_5_r,fb_6_r,0.3690069921584687,0.2465759657824089,False,dfp_5 + fb_6
Trh-M-100025,dense,dfp_5,fb_6,70195.0,45771.0,139358.0,167195.0,27837.0,0.16649421334370046,0.4198391100212327,0.2737581865486408,0.6935972965698735,dfp_5_r,fb_6_r,0.4198391100212327,0.14435240288286133,False,dfp_5 + fb_6
Trh-M-100037,dense,al_3,dfp_5,68311.0,5096.0,92259.0,111062.0,18803.0,0.169301831409483,0.6150708613207038,0.045884280852136645,0.6609551421728403,al_3_r,al_3_l,0.556040770020349,0.059030091300354755,True,al_3 + dfp_5
Trh-M-100060,dense,dfp_5,dlp_23,63002.0,38227.0,121784.0,165296.0,43512.0,0.2632368599361146,0.3811465492207918,0.23126391443229116,0.6124104636530829,dfp_5_r,dlp_23_r,0.3156337721420966,0.23027780466556966,False,dfp_5 + dlp_23
Trh-M-100071,dense,dfp_5,fb_6,55078.0,43344.0,126876.0,156331.0,29455.0,0.18841432601339467,0.35231655909576476,0.2772578695204406,0.6295744286162054,dfp_5_r,fb_6_r,0.35231655909576476,0.1518956572912602,False,dfp_5 + fb_6
Trh-M-200043,dense,al_3,ammc_2,55271.0,678.0,56125.0,74859.0,18734.0,0.25025715010887134,0.7383347359702909,0.009057027211156974,0.7473917631814478,al_3_r,ammc_2_r,0.7383347359702909,0.009057027211156974,False,al_3 + ammc_2
