fc_id,em_id,conf,group,nblast_official
VT24618-F-700000,5813058048,0.0,D1_projection,0.09362023950301995
VT24618-F-700000,299082033,0.0,D1_projection,-0.09337219569426891
VT38815-F-700000,799586652,0.0,D1_projection,0.3013071953486912
VT38815-F-700000,1640555311,0.0,D1_projection,-0.6194797117659213
VT38815-F-700001,799586652,0.0,D1_projection,0.2592114282401121
VT38815-F-700001,485745069,0.0,D1_projection,-0.7444434914072817
VT43401-F-700002,575768294,0.0,D1_projection,-0.4492122774445501
VT43401-F-700002,5813020673,0.0,D1_projection,-0.2865686864587017
VT50245-F-700000,5813058316,0.0,D1_projection,-0.027955081595569017
VT50245-F-700000,700486220,0.0,D1_projection,-0.19060436457365512
VT50245-F-700001,612414168,0.0,D1_projection,-0.25166942902939526
VT50245-F-700001,674807824,0.0,D1_projection,-0.2263904508050762
VT50733-F-700000,919763043,0.0,D1_projection,-0.40961470431468383
VT50733-F-700000,519046655,0.0,D1_projection,-0.10223575649633751
VT58722-F-700000,549282467,0.6,D1_projection,-0.09619486902267368
VT58722-F-700000,326253554,0.4,D1_projection,-0.06754086075931563
VT58722-F-700001,673509195,0.0,D1_projection,0.07923089785019871
VT58722-F-700001,946990515,0.0,D1_projection,-0.6744812251673471
VT5948-F-700000,422725634,0.8,D1_projection,0.3186992594586652
VT5948-F-700000,519279166,0.0,D1_projection,-0.3529572092097367
VT5948-F-700001,422725634,0.6,D1_projection,0.32304419537494944
VT5948-F-700001,736174181,0.0,D1_projection,-0.20153293511252102
5HT1A-F-200016,1191315642,0.8,D2_dense,0.34949064706380406
Cha-F-400298,1167304403,0.7,D2_dense,0.5182442374415873
Cha-F-400298,1261000309,0.7,D2_dense,0.5525302965165131
Gad1-F-700172,5813039309,0.0,D2_dense,0.2069563508260464
TH-F-100083,331662710,1.0,D2_dense,0.31249304504897635
TH-F-200037,331662710,1.0,D2_dense,0.31972321889819033
TH-F-200096,331662710,1.0,D2_dense,0.36564183377022846
TH-F-200106,5813041180,0.8,D2_dense,0.41863735605480334
TH-M-000008,1131827390,0.3,D2_dense,0.27534875492864097
TH-M-000021,604289581,0.3,D2_dense,0.37241246594355804
TH-M-000021,550404663,0.2,D2_dense,0.30289965028902943
TH-M-000032,859265651,0.8,D2_dense,0.5192585465278696
TH-M-000032,5813027592,0.7,D2_dense,0.3738746988034935
TH-M-200035,294436967,0.8,D2_dense,0.2710908220532363
TH-M-200035,452971138,0.6,D2_dense,0.1869911730959587
TH-M-300017,5813054384,0.8,D2_dense,0.34168937182202963
TH-M-300017,947573616,0.2,D2_dense,0.3166847899504436
Trh-F-000008,1671638278,0.9,D2_dense,0.41386409955032405
Trh-F-100052,361312808,0.5,D2_dense,0.23146084577561474
Trh-M-100024,329289084,0.8,D2_dense,0.17032842774467255
Trh-M-700039,5813021583,0.4,D2_dense,0.07292867253497745
Trh-M-700039,981000564,0.3,D2_dense,0.01767043486110348
VGlut-F-200143,328870472,0.8,D2_dense,0.4601265329274544
VGlut-F-200143,298612190,0.4,D2_dense,0.30717799433907533
VGlut-F-200251,548712377,0.8,D2_dense,0.4593901804164131
VGlut-F-200251,5813020996,0.8,D2_dense,0.3580144992037654
VGlut-F-200319,424716408,0.5,D2_dense,0.3353374278569212
VGlut-F-200392,857793013,0.3,D2_dense,0.29037349859251116
VGlut-F-400186,1762359683,0.0,D2_dense,0.32821108164051854
VGlut-F-400186,1916800213,0.0,D2_dense,0.3011551641499405
VGlut-F-700541,1762359683,0.0,D2_dense,0.32486133028738107
VGlut-F-700541,1888199872,0.7,D2_dense,0.2437750856631718
Cha-F-000088,1640887603,0.7,D2_dense,0.29974598246959616
Cha-F-000088,5813047691,0.7,D2_dense,0.317653678136554
Cha-F-000239,1640572741,0.0,D2_dense,0.09826468963156705
Cha-F-000239,5813054726,0.0,D2_dense,0.0927604778407396
Cha-F-000329,640539567,0.7,D2_dense,0.36402407724702235
Cha-F-000329,1043705078,0.7,D2_dense,0.25153058911430565
Cha-F-000427,573670049,0.7,D2_dense,0.2850398691389392
Cha-F-000427,573333284,0.7,D2_dense,0.26311793165483843
Cha-F-000461,487144598,0.3,D2_dense,0.307963944750989
Cha-F-100135,393063351,0.7,D2_dense,0.3861172101305609
Cha-F-200299,5813027276,0.6,D2_dense,0.5221886311726456
Cha-F-200299,1321564092,0.5,D2_dense,0.4295882673524554
Cha-F-300267,328611004,0.7,D2_dense,0.46507853816459405
Cha-F-300344,5812978978,0.7,D2_dense,0.3945956251234596
