fc_id,em_id,group
VGlut-F-500876,5901196806,dense
TH-M-000032,5813021602,dense
TH-F-300062,1666561406,dense
VGlut-F-400757,1730651751,dense
Trh-F-400055,922069357,dense
VGlut-F-400898,1700644008,dense
TH-F-300062,1168915489,dense
Trh-M-300138,1008024276,dense
Trh-M-400023,957506896,dense
TH-M-100057,1449247522,dense
VGlut-F-400757,5813034455,dense
VGlut-F-700541,1700644008,dense
TH-F-200026,329970706,dense
TH-F-100075,5813011298,dense
VGlut-F-300438,5813019526,dense
Trh-M-400131,957506896,dense
Cha-F-000239,1794055377,dense
VGlut-F-200392,5813027276,dense
VGlut-F-400186,1730651751,dense
VGlut-F-400186,1888199872,dense
Cha-F-000239,1316245799,dense
Trh-M-400131,953414780,dense
TH-F-200106,1225640135,dense
TH-F-100036,359931311,dense
VGlut-F-200392,1135441187,dense
Trh-M-300138,953414780,dense
VGlut-F-700541,5901196806,dense
VGlut-F-400184,1730651751,dense
Trh-M-400023,1051980223,dense
Trh-M-300071,1008024276,dense
VGlut-F-500335,5813034455,dense
TH-M-200013,1035601661,dense
Trh-M-300138,1070426862,dense
VGlut-F-400898,5901196806,dense
VGlut-F-700541,1668944259,dense
VGlut-F-700541,5813034455,dense
VGlut-F-100002,1978573010,dense
VGlut-F-300438,297580589,dense
Trh-M-400052,953414780,dense
Trh-M-400052,1070426862,dense
Trh-M-400052,922069357,dense
VGlut-F-600204,5813064410,dense
Trh-M-400131,1070426862,dense
TH-F-200004,484126552,dense
Trh-M-300140,922069357,dense
Trh-M-300140,1070426862,dense
VGlut-F-400184,1700644008,dense
VGlut-F-200319,360259229,dense
fru-F-000094,328611004,dense
Cha-F-000239,610274029,dense
VGlut-F-500335,1888199872,dense
VGlut-F-000158,296543992,dense
VGlut-F-400184,1888199872,dense
VGlut-F-400184,5901196806,dense
VGlut-F-500335,5901196806,dense
TH-F-000019,361005850,dense
VGlut-F-400184,5813034455,dense
TH-M-000029,361005850,dense
VGlut-F-500335,1730651751,dense
Cha-F-400237,5813021533,dense
TH-M-000032,542376096,dense
Trh-M-400131,988567837,dense
TH-M-200010,548712377,dense
TH-M-000032,296139882,dense
TH-F-200026,5813049380,dense
TH-F-200004,5813021602,dense
TH-M-300063,329970706,dense
TH-F-000036,510987433,dense
TH-M-200095,422751191,dense
Cha-F-500071,609548390,dense
TH-M-200010,5813083780,dense
fru-F-000094,422738252,dense
TH-M-000032,361005850,dense
TH-M-100016,361312808,dense
TH-F-100075,5813021602,dense
