fc_id,em_id,group,label,score,em_density,em_cable_in_query_hull_um,query_hull_um3,eff_density,orphan_fwd
fru-F-400338,1141678665,projection,1,0.2882649826647423,0.0057389173755067,4534.0,393002.3188249934,0.011536827603348114,0.3171442447790189
fru-F-400338,1205090786,projection,1,0.2121945923986498,0.0051644024342298,3856.0,393002.3188249934,0.009811646942768048,0.41185041282175816
fru-F-400437,1173745330,projection,1,0.4036126391145456,0.0049933603985814,2309.0,362152.1656878246,0.006375773000320422,0.15603217158176944
fru-F-400437,1141678665,projection,1,0.3181938498288467,0.0057389173755067,5028.0,362152.1656878246,0.013883666801910386,0.23163538873994638
fru-F-400475,5901203987,projection,0,-0.7226543450594277,0.0141366858665491,26.0,428245.6550539075,6.071281679840307e-05,0.9868852459016394
fru-F-400475,519591210,projection,0,-0.3992952881402006,0.004363794654531,288.0,428245.6550539075,0.0006725112014592339,0.9704918032786886
fru-F-500083,1261130127,projection,0,-0.7412803212036516,0.0027767348603921,0.0,318869.274529095,0.0,1.0
fru-F-500083,1261129711,projection,0,-0.7212199904809977,0.0022742701078253,0.0,318869.274529095,0.0,1.0
fru-F-500115,1206114100,projection,1,0.3854754307135442,0.0044044249447143,4486.0,531378.1592303057,0.008442198690472925,0.1656961355214399
fru-F-500115,1173745330,projection,1,0.3083405424396781,0.0049933603985814,2481.0,531378.1592303057,0.004668991295377469,0.25780836421386977
fru-F-500297,1051630846,projection,1,0.3056988415801673,0.0064811516380024,3741.0,334016.8181960983,0.011200034837179042,0.2866273352999017
fru-F-500297,948035783,projection,0,-0.7858037132138149,0.0082182941425455,0.0,334016.8181960983,0.0,1.0
fru-F-500435,1142011140,projection,1,0.3367702147077589,0.0060963572011576,5279.0,433708.748344848,0.012171762778929679,0.1991223258365332
fru-F-500435,1510648834,projection,0,-0.3070381456267737,0.0146032207321978,3797.0,433708.748344848,0.008754723105057018,0.827756445419638
fru-F-500584,862705904,projection,1,0.242128646694652,0.0067382309598167,4131.0,416927.0146443381,0.009908209002777075,0.37540453074433655
fru-F-500584,1205090786,projection,1,0.3291996353566959,0.0051644024342298,4137.0,416927.0146443381,0.009922600010769488,0.24271844660194175
fru-F-600168,1101133698,projection,0,-0.879241260740483,0.0169155253445457,0.0,306948.60714809434,0.0,1.0
fru-F-600168,977343309,projection,0,-0.7952479915402106,0.0088864820496267,0.0,306948.60714809434,0.0,1.0
fru-F-600186,609587511,projection,0,-0.2434768879129805,0.0035320939398441,708.0,392781.6864583423,0.0018025280312428445,0.8781838316722038
fru-F-600186,550280614,projection,0,-0.2697807708610734,0.0049309204984955,1193.0,392781.6864583423,0.0030373106515151323,0.840531561461794
fru-F-700104,1142365351,projection,1,0.4235848925671134,0.0083744298424367,4736.0,360341.2183398643,0.0131430981496353,0.16573033707865167
fru-F-700104,1173745330,projection,1,0.3812509289857044,0.0049933603985814,2334.0,360341.2183398643,0.006477194062763681,0.14831460674157304
fru-F-700114,1224945418,projection,0,-0.8817560711314733,0.0082173427940821,0.0,312297.80714877223,0.0,1.0
fru-F-700114,1224258912,projection,0,-0.8817283324689646,0.0091179727043628,0.0,312297.80714877223,0.0,1.0
fru-F-700163,1142356576,projection,1,0.3889039803466555,0.0076559704478945,5829.0,389385.998441157,0.014969721621566892,0.24610778443113773
fru-F-700163,862705904,projection,1,0.1503345418805204,0.0067382309598167,6075.0,389385.998441157,0.01560148547795829,0.4431137724550898
fru-F-700245,1204175835,projection,1,0.3625138252199836,0.0052954052537903,4970.0,374415.0660507418,0.013274038495359188,0.14479105356091818
fru-F-700245,1100792636,projection,0,-0.8484211125946084,0.0116892928304314,0.0,374415.0660507418,0.0,1.0
fru-F-700257,1141337605,projection,0,0.2952326134285284,0.0076383527427941,5180.0,342052.6828562429,0.015143866017203668,0.3086359175662414
fru-F-700257,1224258912,projection,0,-0.8549693435915284,0.0091179727043628,0.0,342052.6828562429,0.0,1.0
fru-M-400031,1290416713,projection,0,-0.822223448347857,0.0103089118135138,0.0,246372.96123296273,0.0,1.0
fru-M-400031,1198006801,projection,0,-0.651380876660054,0.0186774221070133,0.0,246372.96123296273,0.0,1.0
fru-M-400362,955464899,projection,1,0.2647495452866504,0.0043481874364012,2123.0,496973.2644099108,0.004271859578846316,0.415929203539823
fru-M-400362,1469403612,projection,1,-0.438222688020542,0.0047363747451352,957.0,496973.2644099108,0.0019256569085991163,0.8522508657175837
fru-M-400401,955464899,projection,1,0.2191025022225318,0.0043481874364012,2025.0,537161.5627943056,0.0037698155271311358,0.3648456057007126
fru-M-400401,829261936,projection,1,0.1492553639758627,0.0056753607039504,1875.0,537161.5627943056,0.0034905699325288296,0.5140142517814726
fru-M-500174,266187383,projection,0,-0.6721936925512318,0.0112319871303951,9.0,395005.51433670736,2.278449204718771e-05,0.9673530889000502
fru-M-500174,977343309,projection,0,-0.7449551792041966,0.0088864820496267,0.0,395005.51433670736,0.0,1.0
fru-M-500374,737832306,projection,0,-0.6153760419255062,0.0096842446134171,107.0,385904.7994484261,0.0002772704567368303,0.9723218862121988
fru-M-500374,1224258912,projection,0,-0.8752491994831517,0.0091179727043628,0.0,385904.7994484261,0.0,1.0
