fc_id,em_id,KT_score,model_predict,binary_label
Trh-M-500137,915964590,0.48849620493358636,0.32337496,0
Gad1-F-200040,1230319275,0.5606237816764132,0.9221821,1
Gad1-F-200040,5813047446,0.37135194825682283,0.9384657,1
Gad1-F-200040,1291780675,0.46875000000000006,0.87902147,1
Gad1-F-200040,1231066732,0.4543704274162495,0.6222787,1
Gad1-F-200040,1261423454,0.5604544010168414,0.7740203,1
Gad1-F-200040,1261423370,0.5672705672705671,0.7239623,1
Gad1-F-200040,1198680426,0.4566019876952201,0.7152481,1
Gad1-F-200040,5813077556,0.5362275449101794,0.78145534,1
Gad1-F-200040,1261773286,0.462071240105541,0.94132507,1
Gad1-F-200040,1261768913,0.5110694183864917,0.9313074,1
Gad1-F-500395,1098733189,0.47981492192018516,0.93717664,1
Gad1-F-500395,5813016954,0.5242336610757663,0.9194858,1
Gad1-F-500395,386280932,0.5584731058415268,0.86049765,1
Gad1-F-500395,1103577592,0.5219201850780797,0.88846797,1
Gad1-F-500395,5813088641,0.48074031231925973,0.931489,1
