em_id,mean_score,max_score,n_chance,n_rank1,n_top5,group
327848116,0.497566,0.7700354,38,0,0,unseen
327851331,0.20718728,0.5604725,473,0,0,unseen
327852122,0.35209152,0.6990562,194,0,0,unseen
327852276,0.19610459,0.30665874,63,0,0,unseen
327860997,0.2478345,0.62518746,171,0,0,unseen
327865394,0.28546315,0.5463936,241,0,0,unseen
327873821,0.095601514,0.3253883,623,0,0,unseen
327877252,0.2753226,0.6123093,176,0,0,unseen
327932807,0.16569437,0.6321474,838,0,0,unseen
327933008,0.030057073,0.3402611,188,0,0,unseen
327933027,0.057195663,0.2942859,1018,0,0,unseen
327933061,0.2791671,0.7981161,797,0,0,unseen
327933208,0.16001688,0.53304625,326,0,0,unseen
327933679,0.12741368,0.4208897,343,0,0,unseen
327933814,0.13656138,0.6193798,208,0,0,unseen
327937328,0.27297834,0.49324661,329,0,0,neg_only
327937628,0.22838947,0.6126803,335,0,0,unseen
327941844,0.10490613,0.47863516,267,0,0,unseen
328010530,0.04510487,0.18557912,591,0,0,unseen
328179112,0.13009985,0.7686464,875,0,0,unseen
328179117,0.44778192,0.8183702,111,0,0,unseen
328187494,0.07269364,0.15950972,19,0,0,unseen
328188238,0.27637857,0.6266727,298,0,0,unseen
328193076,0.25684255,0.61065686,287,0,0,unseen
328201793,0.20474581,0.582052,274,0,0,unseen
328206519,0.33012637,0.5729732,275,0,0,unseen
328213227,0.13070005,0.4588157,315,0,0,unseen
328213594,0.3526981,0.7392086,786,0,0,unseen
328213824,0.117354326,0.8487129,425,0,0,unseen
328214655,0.108891964,0.38454163,399,0,0,unseen
328253133,0.33250827,0.8014732,640,0,0,unseen
328265389,0.05190374,0.28672627,688,0,0,neg_only
328269766,0.060305577,0.34397748,331,0,0,unseen
328273806,0.22517607,0.81197125,205,0,1,unseen
328274638,0.19731666,0.5164762,258,0,0,unseen
328283406,0.33303866,0.5340694,329,0,0,unseen
328291093,0.20404279,0.49105525,367,0,0,unseen
328373067,0.20224379,0.7645251,938,1,6,unseen
328373131,0.19035031,0.47921288,306,0,0,unseen
328417092,0.19853486,0.67001426,813,0,0,unseen
328519723,0.353822,0.6533887,148,0,0,unseen
328519904,0.42559037,0.5955118,7,0,0,unseen
328524517,0.37640798,0.6904035,165,0,0,unseen
328524904,0.3997482,0.75819194,104,0,0,unseen
328530120,0.2955231,0.6785326,181,0,0,unseen
328533761,0.0085485615,0.06402707,1013,0,0,pos_only
328533857,0.26975417,0.5452548,166,0,0,unseen
