fc,em,similarity score
1224941044,TH-F-700015,0.2836907736645785
TH-M-000029,859265651,0.5332432802111171
859265651,TH-M-000029,0.4508986190954713
TH-M-000029,510049477,0.3107514559810586
510049477,TH-M-000029,0.3828348973822976
TH-M-000030,792692885,0.0702711047184178
792692885,TH-M-000030,0.1578893138212759
TH-M-000045,331662710,0.2592618582880993
331662710,TH-M-000045,0.2353551514129901
TH-M-100016,331662710,0.1863889533843607
331662710,TH-M-100016,0.1217325296930823
TH-M-100027,947573616,0.347990980742357
947573616,TH-M-100027,0.2993240988798006
TH-M-100027,5813054384,0.3020582552329843
5813054384,TH-M-100027,0.3019568097623792
TH-M-100057,1198330286,0.2879897872444144
1198330286,TH-M-100057,0.3608208095903145
TH-M-100063,1198330286,0.3323483166583784
1198330286,TH-M-100063,0.3563113067664152
TH-M-200010,422738252,0.3875926437189578
422738252,TH-M-200010,0.3287927191152129
TH-M-200013,5813062871,0.3045652065829887
5813062871,TH-M-200013,0.2933203952176352
TH-M-200034,5813054384,0.3164623903347881
5813054384,TH-M-200034,0.3528476453403532
TH-M-200034,947573616,0.3226060590358033
947573616,TH-M-200034,0.3205093730176964
TH-M-200049,331662710,0.2747648254256154
331662710,TH-M-200049,0.2772372232648721
TH-M-200064,331662710,0.226376952202409
331662710,TH-M-200064,0.1609796970085344
TH-M-200095,422738252,0.3552142638450833
422738252,TH-M-200095,0.3006682030197309
TH-M-300005,1131827390,0.2819900489324301
1131827390,TH-M-300005,0.2838760531058307
TH-M-300063,5813009595,0.3273759767480209
5813009595,TH-M-300063,0.3323245832620734
Trh-F-100001,1225290633,0.3412426424417855
1225290633,Trh-F-100001,0.3915483074467111
Trh-F-100038,1671638278,0.3156917382904391
1671638278,Trh-F-100038,0.3070482412305811
Trh-F-100066,5813062858,0.5478343569839282
5813062858,Trh-F-100066,0.4241900981948442
Trh-F-300112,957506896,0.4499327546985776
957506896,Trh-F-300112,0.3824313560488622
Trh-F-400055,957506896,0.4037117834804604
957506896,Trh-F-400055,0.3846649543920808
Trh-M-000172,1671638278,0.3400804791659684
1671638278,Trh-M-000172,0.2821287267388693
Trh-M-100020,361312808,0.2127297295963741
361312808,Trh-M-100020,0.272878752939499
Trh-M-100025,1225290633,0.3063319728409345
1225290633,Trh-M-100025,0.3667689060769649
Trh-M-100025,5813062858,0.4921062546297081
5813062858,Trh-M-100025,0.3508072777732178
Trh-M-100037,1671638278,0.2910650284708174
1671638278,Trh-M-100037,0.2515216083817114
Trh-M-100060,297230760,0.3443944329757716
297230760,Trh-M-100060,0.4135075586154703
Trh-M-100060,361312808,0.3671373330065465
361312808,Trh-M-100060,0.2756264595960281
Trh-M-100071,673746277,0.1140816101959563
673746277,Trh-M-100071,0.2527964746728792
Trh-M-100071,1225290633,0.3190469327629009
1225290633,Trh-M-100071,0.3424381106360201
Trh-M-200043,5813054716,0.4648678671765752
