fc_id,em_id,nblast_official
5-HT1B-F-500001,VGlut-F-700589,-0.8417169416054074
5-HT1B-F-500001,VGlut-F-700603,-0.88139146425822
5-HT1B-F-500001,VGlut-F-800022,-0.8555230938492651
5-HT1B-F-500001,VGlut-F-800041,-0.8582765960838141
5-HT1B-F-500001,VGlut-F-800045,-0.816976540869681
5-HT1B-F-500001,VGlut-F-800049,-0.8813187762823549
5-HT1B-F-500001,VGlut-F-800063,-0.8553177166153121
5-HT1B-F-500001,VGlut-F-800083,-0.8812005934581406
5-HT1B-F-500001,VGlut-F-800085,-0.8813567834271546
5-HT1B-F-500001,VGlut-F-800086,-0.8813159913542913
5-HT1B-F-500001,VGlut-F-800134,-0.8799997356532583
5-HT1B-F-500001,VGlut-F-800137,-0.8759532061443884
5-HT1B-F-500001,VGlut-F-800154,-0.8813011412337051
5-HT1B-F-500001,VGlut-F-800199,-0.881389557801106
5-HT1B-F-500001,VGlut-F-800240,-0.8812228326792937
5-HT1B-F-500001,VGlut-F-800250,-0.8811827389444944
5-HT1B-F-500001,VGlut-F-800260,-0.8461958382177519
5-HT1B-F-500001,VGlut-F-800278,-0.8806044151555954
5-HT1B-F-500001,VGlut-F-800328,-0.8816104508363686
5-HT1B-F-500001,VGlut-F-800330,-0.86327734607684
5-HT1B-F-500001,VGlut-F-900032,-0.874961647241383
5-HT1B-F-500001,VGlut-F-900049,-0.8732944360837496
5-HT1B-F-500001,VGlut-F-900080,-0.8611747264488676
5-HT1B-F-500001,VGlut-F-900131,-0.8342737271640612
5-HT1B-F-500001,VGlut-F-900136,-0.8429036238463555
5HT1A-F-300008,5-HT1B-F-500001,0.46582627748676375
5HT1A-F-300008,5HT1A-F-300008,0.9999999999999999
5HT1A-F-300008,5HT1A-F-700012,0.2595629910791009
5HT1A-F-300008,Cha-F-200058,0.271786580762453
5HT1A-F-300008,Cha-F-300158,0.27683642784640483
5HT1A-F-300008,Cha-F-300205,0.34652581910345215
5HT1A-F-300008,Gad1-F-000355,0.2666169818527702
5HT1A-F-300008,Gad1-F-000361,0.3159754004074424
5HT1A-F-300008,Gad1-F-000394,0.451348198601636
5HT1A-F-300008,Gad1-F-000492,0.41939320784596834
5HT1A-F-300008,Gad1-F-100350,0.32819305688621847
5HT1A-F-300008,Gad1-F-100497,0.3370455699699996
5HT1A-F-300008,Gad1-F-100601,0.41802031282047925
5HT1A-F-300008,Gad1-F-200281,0.2814735436850267
5HT1A-F-300008,Gad1-F-200344,0.525098539586076
5HT1A-F-300008,Gad1-F-200461,0.43215090962834335
5HT1A-F-300008,Gad1-F-200479,0.5085272774066407
5HT1A-F-300008,Gad1-F-200614,0.3504139559803517
5HT1A-F-300008,Gad1-F-300048,0.3261957006478452
5HT1A-F-300008,Gad1-F-300137,0.32791276060539976
5HT1A-F-300008,Gad1-F-300223,0.45852796453265643
5HT1A-F-300008,Gad1-F-300276,0.3836639415476371
5HT1A-F-300008,Gad1-F-400291,0.3403560654999549
5HT1A-F-300008,Gad1-F-400417,0.42515921231788356
5HT1A-F-300008,Gad1-F-400645,0.25212686052203764
5HT1A-F-300008,Gad1-F-400667,0.29146696735248684
5HT1A-F-300008,Gad1-F-400824,0.4663424388433641
5HT1A-F-300008,Gad1-F-500141,0.362351022687113
5HT1A-F-300008,Gad1-F-500358,0.5022548437019962
5HT1A-F-300008,Gad1-F-500382,0.35911696744516913
5HT1A-F-300008,Gad1-F-500596,0.0045547103562231794
5HT1A-F-300008,Gad1-F-500697,0.5212627129655567
5HT1A-F-300008,Gad1-F-600299,0.4414582157171162
5HT1A-F-300008,Gad1-F-600475,0.4530192336455349
5HT1A-F-300008,Gad1-F-600662,0.36676677658722423
5HT1A-F-300008,Gad1-F-600684,0.21212493945557157
5HT1A-F-300008,Gad1-F-700105,0.3413151645700482
5HT1A-F-300008,Gad1-F-700252,0.3402172371935661
5HT1A-F-300008,Gad1-F-700276,0.3565601901169765
5HT1A-F-300008,Gad1-F-700488,0.4920841658359313
5HT1A-F-300008,Gad1-F-800183,0.3515835860773147
5HT1A-F-300008,Gad1-F-800493,0.4268557021453695
5HT1A-F-300008,Gad1-F-800638,0.5598303849038291
5HT1A-F-300008,Gad1-F-900200,0.3600765386838588
5HT1A-F-300008,Gad1-F-900485,0.5133216361426206
5HT1A-F-300008,fru-F-400442,-0.0863270119208166
5HT1A-F-300008,fru-F-400547,-0.2113253874391269
5HT1A-F-300008,fru-F-500420,-0.3039879168613374
5HT1A-F-300008,fru-F-500439,-0.1715972653962608
