fc_id,em_id,group,score,label,soma_dist_um
Cha-F-700236,360259229,dense,0.1512891485757118,0,66.51568458887635
Cha-F-800090,296139882,dense,0.4844055035295087,1,21.386339454871077
Cha-F-800090,297251714,dense,0.4630075109963777,1,64.89524384814075
E0585-F-600004,5813010510,dense,0.2200482425866698,1,76.01527979632368
GH146-M-000001,610274029,dense,0.2461639370854905,1,36.27732648035253
Gad1-F-000245,953414780,dense,0.1948285261377577,0,217.4315292465218
Gad1-F-000694,5813033371,dense,0.3428013711977685,0,132.96850742542395
Gad1-F-000694,1480525278,dense,0.233720528982482,0,43.26705439971064
Gad1-F-000703,424716408,dense,0.3842377967929047,0,56.210272841876915
Gad1-F-000703,5813068669,dense,0.1775566385316512,0,54.60600590552468
Gad1-F-100171,1224595608,dense,0.4237874965715952,1,9.891352321196093
Gad1-F-100784,832016427,dense,0.3580647581398521,1,32.45385175153154
Gad1-F-200186,1916800213,dense,0.216946871582561,0,80.36073578449336
Gad1-F-200186,1762359683,dense,0.177732659607034,0,121.86595051271276
Gad1-F-200219,5901197108,dense,0.3643609038193991,1,24.44198502016999
Gad1-F-200247,543692985,dense,0.3884916324794504,1,16.334872411173222
Gad1-F-200719,5813039309,dense,0.2401571243529963,0,87.3088660342146
Gad1-F-200719,1640555311,dense,0.2312407862781594,0,102.12772599952746
Gad1-F-400220,550638250,dense,0.5336041251066015,1,22.824840741914624
Gad1-F-500004,294436967,dense,0.3016875686536128,1,9.80516794837554
Gad1-F-500321,574377562,dense,0.3396777062986245,1,17.505868717238016
Gad1-F-500457,1261423370,dense,0.5600481882885329,1,22.82372981937765
Gad1-F-600059,328546871,dense,0.3520709146854626,1,76.45297346137282
Gad1-F-600604,1793403571,dense,0.2514189331338039,1,44.31848106483731
Gad1-F-700193,634379734,dense,0.2262570676827949,1,16.50740483188437
Gad1-F-700607,977338882,dense,0.4585142299899586,1,19.102226428910154
Gad1-F-700607,915610561,dense,0.4719906013071082,1,20.627418564021788
Gad1-F-700607,1008378609,dense,0.4130459620320326,1,25.423186478525338
Gad1-F-800371,5813082723,dense,0.360941417767692,1,20.13693557145444
Gad1-F-900395,5813049380,dense,0.4933236693836502,1,38.92957176675983
TH-F-000009,5813054384,dense,0.3818217351208129,1,20.69653833804099
TH-F-000009,1378251040,dense,0.1460252899473692,1,187.74043569538446
TH-F-000010,5812980529,dense,0.3743189980008728,1,32.16182314443661
TH-F-000010,360591860,dense,0.3260260519422755,1,116.2157245922271
TH-F-000010,5901203505,dense,0.2924370793256629,1,24.98638581128098
TH-F-000012,487144598,dense,0.2998460126513635,0,141.4123009175381
TH-F-000019,859265651,dense,0.5933659043795997,1,29.372776727461275
TH-F-000019,5813027592,dense,0.3951188945126659,1,127.5219991989199
TH-F-000036,859265651,dense,0.4039830322763585,0,115.91100859298156
TH-F-000046,604289581,dense,0.2835026929658818,0,157.09576954809899
TH-F-000046,550404663,dense,0.3273992073193026,0,197.65350909852742
TH-F-000079,1378251040,dense,0.1315982624517631,0,143.4026516026021
TH-F-000091,331662710,dense,0.4949132942320437,1,42.59765070847249
TH-F-100005,1378251040,dense,0.1525667528571591,0,191.60517414602919
TH-F-100005,5813054384,dense,0.3834161441397025,1,13.702057938982257
TH-F-100036,360591860,dense,0.3061804923772439,1,120.3490229223774
TH-F-100036,5901203505,dense,0.2716350784578656,1,17.839629499748305
TH-F-100050,1131827390,dense,0.4934501295045874,1,20.11303972590256
TH-F-100075,859265651,dense,0.4417777926279676,0,111.52966003640849
TH-F-100095,331662710,dense,0.2833317712862245,1,38.47835087688272
TH-F-100099,331662710,dense,0.3483735981214356,1,40.89296107026793
TH-F-200004,859265651,dense,0.4208471866719001,0,122.61557105940086
TH-F-200004,5813011298,dense,0.3836944912267557,1,30.497415151545248
TH-F-200010,331662710,dense,0.3649739326679015,1,92.36361482960659
TH-F-200026,5813009595,dense,0.4460739964814617,1,31.897455016861137
TH-F-200034,331662710,dense,0.3606885912089813,1,72.05137037827421
TH-F-200064,331662710,dense,0.264669325573206,1,86.69725408213905
TH-F-200081,331662710,dense,0.3207124758996531,1,46.712200480568605
TH-F-200085,1131827390,dense,0.4477205326691447,1,22.404522355786657
TH-F-300037,331662710,dense,0.4331299444205933,1,53.76823607251196
TH-F-300046,1131827390,dense,0.3889705905196848,1,31.89969939337085
TH-F-300062,5813060068,dense,0.5410722375734256,1,32.21898927879585
TH-F-300078,5813071348,dense,0.4075880983639822,1,46.871813361253224
TH-F-700015,1224941044,dense,0.3821627753085903,1,20.97396522023411
TH-M-000029,859265651,dense,0.50526119743491,1,35.478349904471315
TH-M-000029,510049477,dense,0.3415140469182823,1,129.38903797989377
TH-M-000030,792692885,dense,0.0403735471192063,0,111.33027409277204
TH-M-000045,331662710,dense,0.2238787196360502,1,100.02576016003171
TH-M-100016,331662710,dense,0.1391154542736749,1,87.1039074676034
TH-M-100027,947573616,dense,0.3089811008419975,0,172.854201626489
TH-M-100027,5813054384,dense,0.3154459436750663,1,25.786564815738842
TH-M-100057,1198330286,dense,0.3786424274666926,1,13.759090711554856
TH-M-100063,1198330286,dense,0.3767219824812446,1,21.471573202947088
TH-M-200010,422738252,dense,0.372451104075423,1,38.62387518989983
TH-M-200013,5813062871,dense,0.2990231396054242,1,45.87652538468573
TH-M-200034,5813054384,dense,0.328415123721777,1,19.77977860524284
TH-M-200034,947573616,dense,0.3029466009398587,0,178.7619883589282
TH-M-200049,331662710,dense,0.2660346373239517,1,56.67385937789822
TH-M-200064,331662710,dense,0.1715794756231006,1,89.12702862919333
TH-M-200095,422738252,dense,0.3408275768598164,1,52.73596221628596
TH-M-300005,1131827390,dense,0.3369346967124307,1,24.888941984209
TH-M-300063,5813009595,dense,0.3318514416350918,1,27.644833125929594
Trh-F-100001,1225290633,dense,0.3893695385344594,1,279.848362006211
Trh-F-100038,1671638278,dense,0.3357339880653512,1,26.753280294468205
Trh-F-100066,5813062858,dense,0.5196216245655183,1,20.838231136712572
Trh-F-300112,957506896,dense,0.4176280381303235,1,19.054060400094308
Trh-F-400055,957506896,dense,0.4381029993410777,1,26.12724630223703
Trh-M-000172,1671638278,dense,0.3105189129573317,1,29.14474901567209
Trh-M-100020,361312808,dense,0.280973888732733,1,30.01335041291063
Trh-M-100025,1225290633,dense,0.3855680290633685,1,243.15293084965714
Trh-M-100025,5813062858,dense,0.4795093564928623,1,69.0123704516791
Trh-M-100037,1671638278,dense,0.2865441866939945,1,37.29936187338253
Trh-M-100060,297230760,dense,0.3832264937115155,1,24.8798296169854
Trh-M-100060,361312808,dense,0.3355115584222954,1,38.52291158785824
Trh-M-100071,673746277,dense,0.2566175900877646,0,206.22033754889537
Trh-M-100071,1225290633,dense,0.3715574138560844,1,254.8005920486968
Trh-M-200043,5813054716,dense,0.4945269844009418,0,63.829721945996724
Trh-M-300071,977339122,dense,0.2300700939527576,1,31.16920311613232
Trh-M-300138,922069357,dense,0.2961263383922392,1,33.20516415899395
Trh-M-300138,832016427,dense,0.2851470943360317,1,35.34402397251211
Trh-M-300138,957506896,dense,0.2971470976261516,1,27.977427855915543
Trh-M-300140,5813053851,dense,0.2539567062028616,1,28.977002787930186
Trh-M-300140,957506896,dense,0.2676263364646076,1,22.017037454364193
Trh-M-400023,5813053851,dense,0.3245774317632433,1,33.505746928432444
