neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels
Cha-F-400237,dense,True,8,0.9053631798995779,0.017267798915761468,0.9226309788153394,0.937702294504791,0.019072786809904062,0.8880953809838165,0.8229452999254148,0.4369649994562875,1.5480018952001484,1.2151475925442823,1.0,1.0,1.0,0.9053631798995779,0.017267798915761468,0.9226309788153394,0.937702294504791,0.019072786809904062,0.8880953809838165,0.8229452999254148,0.43696499945628753,1.5480018952001484,1.2151475925442823,1.0,1.0,1.0,vlp_21,dmp_10,1.0,0.05198343635599832,0.9480165636440017,249945.0,236952.0
Cha-F-400298,dense,True,2,0.261619305137493,0.22820264272231008,0.48982194785980304,0.5766032345288505,0.8722698907956318,0.0334166624151829,0.23374956732406113,1.658934209705477,5.253708507981235,4.278082785127212,3.0,2.0,2.0,0.4898219478598031,0.0867812866690475,0.5766032345288505,0.6174684965052804,0.17716904489115717,0.4030406611907556,0.35390495515371984,1.289815677173562,3.6321170119750033,2.825617402179765,2.0,1.0,1.0,eb_8,lat_tri_7,0.06822206020206228,0.32115708382225394,0.6788429161777461,19601.0,13306.0
Cha-F-500071,dense,True,6,0.7750046563605886,0.02749792580301055,0.8025025821635992,0.8272066916134713,0.035480981407441395,0.747506730557578,0.6103448243959271,0.983971640006127,2.6750595452482964,1.6384180876600765,1.0,1.0,1.0,0.7997087658104607,0.05154167866032273,0.8512504444707835,0.8751926040061634,0.06445056108405675,0.7481670871501379,0.650221607224673,0.8198773132959214,2.270221294477842,1.5379372030841587,2.0,1.0,1.0,vlp_21,spp_20,0.9382172348083845,0.0827138962732183,0.9172861037267817,59059.0,54174.0
Cha-F-500310,dense,True,1,0.6073155011279407,0.14741110753034697,0.7547266086582878,0.824309807712966,0.2427257451136464,0.4599043935975938,0.41194683468816734,1.2369522887805517,3.445097785352712,2.4274977152257358,3.0,2.0,1.0,0.6073155011279407,0.14741110753034697,0.7547266086582878,0.824309807712966,0.2427257451136464,0.4599043935975938,0.41194683468816734,1.2369522887805515,3.445097785352711,2.4274977152257358,3.0,2.0,1.0,dlp_23,idlp_24,1.0,0.12364378558384359,0.8763562144161564,37236.0,32632.0
Cha-F-700236,dense,True,1,0.5157662849970542,0.14733983964753194,0.6631061246445862,0.8079228463843848,0.28567171591755647,0.3684264453495223,0.3175550476947305,1.510401386167611,4.528548126141119,3.149060319649877,3.0,3.0,1.0,0.5157662849970542,0.14733983964753194,0.6631061246445862,0.8079228463843848,0.28567171591755647,0.3684264453495223,0.3175550476947305,1.5104013861676113,4.52854812614112,3.149060319649877,3.0,3.0,1.0,lh_25,spp_20,1.0,0.06846999154691462,0.9315300084530854,78078.0,72732.0
Cha-F-800090,dense,True,5,0.4066507232786412,0.19591501545324908,0.6025657387318903,0.6479877483756056,0.4817771228185081,0.21073570782539214,0.26346486021093757,1.5775795889136628,4.843219032013398,3.795572582997866,2.0,2.0,1.0,0.4066507232786412,0.19591501545324908,0.6025657387318903,0.6479877483756056,0.4817771228185081,0.21073570782539214,0.2634648602109376,1.5775795889136626,4.843219032013397,3.795572582997865,2.0,2.0,1.0,dfp_5,dlp_23,1.0,0.23094422958478755,0.7690557704152124,180221.0,138600.0
E0585-F-600004,dense,True,1,0.7054680906789279,0.10249396152838809,0.807962052207316,0.8484416378081076,0.14528504248824356,0.6029741291505398,0.5214391924334134,1.0446743359242383,2.842472681664462,1.917769156041522,2.0,2.0,1.0,0.7054680906789279,0.10249396152838809,0.807962052207316,0.8484416378081076,0.14528504248824356,0.6029741291505398,0.5214391924334133,1.0446743359242383,2.842472681664462,1.9177691560415224,2.0,2.0,1.0,dlp_23,idlp_24,1.0,0.10397811599685708,0.8960218840031429,34363.0,30790.0
GH146-M-000001,dense,True,1,0.7530366802463856,0.030693165875141613,0.7837298461215272,0.803574242049112,0.0407591909933247,0.722343514371244,0.5878427342959015,0.9408821099424198,2.5622405996674575,1.7011352554995287,1.0,1.0,1.0,0.7530366802463856,0.030693165875141613,0.7837298461215272,0.803574242049112,0.0407591909933247,0.722343514371244,0.5878427342959016,0.9408821099424198,2.5622405996674575,1.7011352554995285,1.0,1.0,1.0,al_3,dfp_5,1.0,0.13672001020354574,0.8632799897964543,133287.0,115064.0
Gad1-F-000245,dense,True,1,0.19562317632346812,0.15125746838960677,0.3468806447130749,0.46524940947617066,0.7732083244548618,0.044365707933861354,0.13896035834948828,2.1187538953798577,8.320762484285586,7.196296928689393,6.0,4.0,0.0,0.2970543281923024,0.24040572460747534,0.5374600527997777,0.7036543004029456,0.8092988446606483,0.05664860358482704,0.21782784225182678,1.6367914633737068,5.138655469163215,4.590781369646578,4.0,3.0,2.0,dfp_5,fb_6,0.31708686093830396,0.19909684590801724,0.8009031540919828,71970.0,57641.0
Gad1-F-000694,dense,True,5,0.9535964439655172,0.013750448994252873,0.9673468929597702,0.9746430495689655,0.014419568236928219,0.9398459949712643,0.9101788156302514,0.23837106959083543,1.2691800595827463,1.0986852064970904,1.0,1.0,1.0,0.9535964439655172,0.013750448994252873,0.9673468929597702,0.9746430495689655,0.014419568236928219,0.9398459949712643,0.9101788156302513,0.23837106959083543,1.2691800595827463,1.0986852064970907,1.0,1.0,1.0,vlp_21,lh_25,1.0,0.02427936422413793,0.9757206357758621,89088.0,86925.0
