rule,target,coverage_of_target,false_intake_from_other,margin
share_2_total <= 0.22,dense,0.7346938775510204,0.3106796116504854,0.42401426590053504
share_2_total >= 0.24,projection,0.6310679611650486,0.20408163265306123,0.42698632851198737
share_2_total <= 0.24,dense,0.7959183673469388,0.36893203883495146,0.4269863285119873
share_2_total >= 0.26,projection,0.5825242718446602,0.14285714285714285,0.4396671289875173
share_2_total <= 0.26,dense,0.8571428571428571,0.4174757281553398,0.4396671289875173
share_2_total >= 0.28,projection,0.4854368932038835,0.06802721088435375,0.41740968231952974
share_2_total <= 0.28,dense,0.9319727891156463,0.5145631067961165,0.4174096823195298
share_2_total >= 0.30,projection,0.4077669902912621,0.05442176870748299,0.3533452215837791
share_2_total <= 0.30,dense,0.9455782312925171,0.5922330097087378,0.35334522158377923
share_2_total >= 0.32,projection,0.32038834951456313,0.02040816326530612,0.299980186249257
share_2_total <= 0.32,dense,0.9795918367346939,0.6796116504854369,0.29998018624925693
share_2_total >= 0.34,projection,0.21359223300970873,0.02040816326530612,0.1931840697444026
share_2_total <= 0.34,dense,0.9795918367346939,0.7864077669902912,0.1931840697444026
share_2_total >= 0.36,projection,0.1262135922330097,0.013605442176870748,0.11260815005613896
share_2_total <= 0.36,dense,0.9863945578231292,0.8737864077669902,0.112608150056139
share_2_total >= 0.38,projection,0.06796116504854369,0.006802721088435374,0.06115844396010831
share_2_total <= 0.38,dense,0.9931972789115646,0.9320388349514563,0.06115844396010828
share_2_total >= 0.40,projection,0.009708737864077669,0.006802721088435374,0.002906016775642295
share_2_total <= 0.40,dense,0.9931972789115646,0.9902912621359223,0.002906016775642284
share_2_total >= 0.42,projection,0.0,0.0,0.0
share_2_total <= 0.42,dense,1.0,1.0,0.0
share_2_total >= 0.44,projection,0.0,0.0,0.0
share_2_total <= 0.44,dense,1.0,1.0,0.0
share_12 >= 0.50,projection,1.0,0.9591836734693877,0.04081632653061229
share_12 >= 0.55,projection,1.0,0.9251700680272109,0.07482993197278909
share_12 >= 0.60,projection,1.0,0.8775510204081632,0.12244897959183676
share_12 >= 0.65,projection,0.9902912621359223,0.8231292517006803,0.16716201043524204
share_12 >= 0.70,projection,0.970873786407767,0.7619047619047619,0.20896902450300514
share_12 >= 0.75,projection,0.9029126213592233,0.6258503401360545,0.2770622812231689
share_12 >= 0.80,projection,0.7572815533980582,0.5102040816326531,0.24707747176540518
share_12 >= 0.85,projection,0.6699029126213593,0.3469387755102041,0.3229641371111552
share_12 >= 0.90,projection,0.5436893203883495,0.25170068027210885,0.29198864011624065
share_12 >= 0.95,projection,0.34951456310679613,0.14285714285714285,0.20665742024965328
share_12 >= 1.00,projection,0.0,0.0,0.0
share_12_total >= 0.50,projection,0.9514563106796117,0.8639455782312925,0.0875107324483192
share_12_total >= 0.55,projection,0.8932038834951457,0.7687074829931972,0.12449640050194843
share_12_total >= 0.60,projection,0.7766990291262136,0.6598639455782312,0.11683508354798233
share_12_total >= 0.65,projection,0.5825242718446602,0.5170068027210885,0.0655174691235717
share_12_total >= 0.70,projection,0.47572815533980584,0.3945578231292517,0.08117033221055414
share_12_total >= 0.75,projection,0.32038834951456313,0.2857142857142857,0.03467406380027743
share_12_total >= 0.80,projection,0.1553398058252427,0.20408163265306123,-0.048741826827818524
share_12_total >= 0.85,projection,0.06796116504854369,0.07482993197278912,-0.0068687669242454286
share_12_total >= 0.90,projection,0.0,0.027210884353741496,-0.027210884353741496
share_12_total >= 0.95,projection,0.0,0.006802721088435374,-0.006802721088435374
share_12_total >= 1.00,projection,0.0,0.0,0.0
vox_1 >= 10000,dense,0.9795918367346939,0.6601941747572816,0.31939766197741226
vox_1 + vox_2 >= 10000,projection,0.970873786407767,1.0,-0.029126213592232997
vox_1 >= 20000,dense,0.891156462585034,0.27184466019417475,0.6193118023908593
vox_1 + vox_2 >= 20000,projection,0.5728155339805825,0.9659863945578231,-0.3931708605772406
vox_1 >= 30000,dense,0.7619047619047619,0.18446601941747573,0.5774387424872861
vox_1 + vox_2 >= 30000,projection,0.2912621359223301,0.8843537414965986,-0.5930916055742685
vox_1 >= 40000,dense,0.6190476190476191,0.1553398058252427,0.46370781322237636
vox_1 + vox_2 >= 40000,projection,0.22330097087378642,0.7959183673469388,-0.5726173964731524
vox_1 >= 60000,dense,0.3673469387755102,0.04854368932038835,0.3188032494551219
vox_1 + vox_2 >= 60000,projection,0.13592233009708737,0.564625850340136,-0.42870352024304864
vox_1 >= 80000,dense,0.2108843537414966,0.019417475728155338,0.19146687801334128
vox_1 + vox_2 >= 80000,projection,0.04854368932038835,0.40816326530612246,-0.35961957598573413
